,Cd,Cm,CM,CA,C#d,C#m,C#M,C#A,Dd,Dm,DM,DA,Ebd,Ebm,EbM,EbA,Ed,Em,EM,EA,Fd,Fm,FM,FA,F#d,F#m,F#M,F#A,Gd,Gm,GM,GA,G#d,G#m,AbM,AbA,Ad,Am,AM,AA,Bbd,Bbm,BbM,BbA,Bd,Bm,BM,BA
Cd,6,7,7,7,5,4,4,3,4,3,2,2,3,3,6,6,10,10,9,7,9,7,6,6,0,0,0,0,11,11,11,12,10,11,7,7,7,6,6,6,5,5,5,2,5,2,3,6
Cm,9,14,13,10,3,1,1,2,4,1,2,2,2,2,4,6,10,7,7,9,9,7,5,5,0,0,0,0,8,9,9,12,10,9,9,10,6,4,4,5,4,3,4,2,5,1,2,6
CM,6,14,14,11,3,1,1,2,4,3,1,1,1,1,3,6,9,8,8,11,9,7,7,7,0,0,0,0,6,7,9,12,10,9,9,11,11,9,5,7,3,3,3,1,5,1,1,6
CA,6,15,15,13,7,6,5,4,3,2,1,1,1,1,3,6,6,12,11,13,9,10,9,9,0,0,0,0,7,5,8,12,7,11,13,13,11,11,11,10,2,2,2,1,4,2,2,6
C#d,5,3,5,5,5,4,4,4,4,4,4,3,3,3,2,2,6,7,11,11,9,9,9,7,9,7,6,6,0,0,0,0,10,10,10,11,10,11,7,7,7,6,6,6,5,5,5,2
C#m,5,1,3,7,7,8,7,6,3,1,1,2,3,1,2,2,5,5,8,13,9,8,7,9,9,7,5,5,0,0,0,0,7,8,9,13,10,9,9,10,6,4,4,5,4,3,4,2
C#M,5,1,2,7,5,8,8,7,3,1,1,2,3,2,1,1,4,2,5,13,8,10,8,11,9,7,7,7,0,0,0,0,5,6,9,13,10,9,9,11,9,7,5,7,3,3,3,1
C#A,4,3,4,7,5,9,9,9,6,6,5,3,3,2,1,1,4,3,5,13,5,13,13,13,10,10,8,8,0,0,0,0,6,4,8,13,8,13,13,13,9,9,9,8,2,2,2,1
Dd,5,6,6,3,6,3,5,5,5,4,4,4,3,3,3,3,3,3,2,2,6,9,11,11,9,9,8,7,8,7,6,6,0,0,0,0,10,10,10,11,8,9,7,7,7,6,6,6
Dm,4,3,4,3,6,1,3,7,7,8,7,5,3,1,1,2,3,1,2,2,5,7,10,13,10,8,7,8,8,7,5,5,0,0,0,0,8,9,9,13,8,7,7,8,6,4,4,5
DM,3,3,3,2,6,1,2,7,5,8,8,6,3,1,1,2,3,2,1,1,4,4,7,13,10,10,8,10,8,7,7,7,0,0,0,0,6,7,9,13,8,7,7,9,9,7,5,7
DA,2,3,3,2,5,3,4,7,5,9,9,8,5,5,4,3,3,2,1,1,4,5,7,13,7,13,12,12,9,9,8,8,0,0,0,0,7,5,8,13,6,11,11,11,9,9,9,8
Ebd,7,8,7,5,6,5,5,3,5,3,5,4,5,4,4,4,3,3,2,2,2,2,2,2,8,9,10,10,8,8,8,7,7,6,7,6,0,0,0,0,8,8,8,9,8,9,7,7
Ebm,6,5,4,4,5,2,3,3,5,1,3,6,6,7,6,5,3,1,1,1,2,1,2,2,7,7,10,12,9,8,7,8,7,6,6,5,0,0,0,0,6,7,7,11,8,7,7,8
EbM,9,8,5,6,4,2,2,2,5,1,2,6,4,7,7,6,3,1,1,1,2,2,1,1,6,4,7,12,9,10,8,10,7,6,8,7,0,0,0,0,4,5,7,11,8,7,7,9
EbA,9,11,10,7,3,2,2,2,4,3,4,6,4,8,8,8,5,5,3,2,2,1,1,1,6,5,6,12,6,12,12,12,8,8,9,8,0,0,0,0,5,3,6,11,6,11,11,11
Ed,8,11,9,7,6,4,3,3,5,5,5,2,4,2,4,4,8,7,6,8,2,2,2,2,2,2,2,2,7,8,10,10,7,7,9,8,9,8,7,6,0,0,0,0,8,8,8,9
Em,8,8,8,8,4,2,1,2,4,2,3,2,4,0,2,6,10,12,9,10,2,1,1,1,2,1,2,2,6,7,10,12,8,7,8,9,9,8,6,5,0,0,0,0,6,7,7,11
EM,8,8,8,9,6,3,1,3,3,2,2,1,4,0,1,6,6,12,11,12,2,1,1,1,2,2,1,1,5,4,7,12,9,9,9,11,9,8,8,7,0,0,0,0,4,5,7,11
EA,6,13,13,11,6,5,4,4,2,2,2,1,3,2,3,6,6,14,13,15,4,4,3,2,2,1,1,1,5,4,6,12,6,11,13,13,10,10,9,8,0,0,0,0,5,3,6,11
Fd,8,10,10,9,5,5,4,4,5,4,3,2,4,4,4,2,7,4,7,10,7,8,8,8,2,2,2,2,2,2,2,2,7,7,11,11,9,9,9,8,7,6,5,4,0,0,0,0
Fm,6,8,8,11,5,3,3,5,3,2,1,1,3,1,2,2,7,1,4,13,9,13,11,10,2,1,1,1,2,1,2,2,6,6,11,13,10,9,8,9,7,6,4,3,0,0,0,0
FM,4,6,8,11,5,3,3,5,5,3,1,2,2,1,1,1,7,0,1,13,5,13,13,12,2,1,1,1,2,2,1,1,4,4,9,13,11,11,9,11,7,6,6,5,0,0,0,0
FA,5,5,8,11,5,7,7,7,5,5,4,3,1,1,1,1,5,3,4,13,5,15,15,15,4,4,3,2,2,1,1,1,4,4,8,13,8,13,13,13,8,8,7,6,0,0,0,0
F#d,0,0,0,0,6,6,6,7,6,7,4,4,4,4,4,4,5,5,5,2,5,2,4,6,8,10,8,8,9,9,9,7,9,7,5,6,6,8,12,12,10,10,10,6,10,6,5,6
F#m,0,0,0,0,4,5,5,8,6,6,6,7,4,3,1,2,3,2,4,2,5,1,3,7,11,17,15,13,6,3,3,3,9,4,4,6,5,6,11,13,11,9,8,10,10,8,6,3
F#M,0,0,0,0,3,4,5,8,6,6,6,7,7,6,3,4,2,2,2,1,5,1,2,7,10,17,15,13,8,4,4,6,9,8,5,5,7,4,6,13,8,9,8,10,10,8,8,6
F#A,0,0,0,0,3,2,4,8,4,8,8,8,7,7,7,7,1,1,1,1,3,2,3,7,10,17,15,15,13,13,13,11,6,4,4,3,7,5,5,13,5,11,11,11,11,11,10,10
Gd,10,7,5,6,0,0,0,0,6,6,6,7,6,7,4,4,6,6,6,6,5,5,5,2,5,2,4,5,8,8,8,8,9,9,9,7,9,7,5,6,6,8,10,10,10,10,10,6
Gm,10,9,6,3,0,0,0,0,4,5,5,8,6,6,6,7,5,4,2,3,3,2,4,2,5,1,3,6,11,15,15,13,6,3,3,3,9,4,4,6,5,6,9,11,11,9,8,10
GM,10,9,9,5,0,0,0,0,3,4,5,8,6,6,6,7,11,9,3,5,2,2,2,1,5,1,2,6,10,15,15,13,6,3,3,4,9,8,5,5,7,4,6,11,8,9,8,10
GA,11,12,11,9,0,0,0,0,3,2,4,8,4,8,8,8,11,11,10,10,1,1,1,1,3,2,3,6,10,15,15,15,11,11,11,9,6,4,4,3,7,5,5,11,5,11,11,11
G#d,10,11,11,6,6,4,3,4,0,0,0,0,6,6,6,7,9,11,5,7,5,5,6,6,5,5,4,2,4,2,4,5,6,6,7,7,9,9,9,7,7,7,5,6,6,8,10,10
G#m,11,10,9,10,6,5,3,2,0,0,0,0,4,5,5,8,9,9,8,12,4,3,2,3,3,2,3,2,4,1,3,6,9,13,14,12,6,3,3,3,7,4,4,6,5,6,9,11
AbM,8,11,9,10,6,5,5,3,0,0,0,0,3,4,5,8,9,9,8,12,10,10,3,5,2,2,2,1,4,1,2,6,8,13,14,12,6,3,3,4,7,6,5,5,7,4,6,11
AbA,5,13,13,12,7,7,6,5,0,0,0,0,3,2,4,8,6,13,12,15,10,12,10,10,1,1,1,1,3,2,3,6,8,13,15,15,11,11,11,9,6,4,4,3,7,5,5,11
Ad,6,10,11,10,6,6,6,4,6,4,3,4,0,0,0,0,9,9,8,12,8,12,7,7,6,5,6,6,4,4,4,2,3,1,5,5,8,7,7,7,7,7,7,7,7,7,5,6
Am,5,8,11,12,7,6,5,6,6,5,3,2,0,0,0,0,6,7,6,15,8,10,10,12,4,3,2,3,3,2,3,2,3,1,4,7,11,14,14,12,6,3,3,3,7,4,4,6
AM,7,5,8,12,6,7,5,6,6,5,5,3,0,0,0,0,5,6,6,15,8,10,10,12,12,10,3,5,2,2,2,1,3,1,2,7,9,14,14,12,6,3,3,4,7,6,5,5
AA,7,6,7,12,4,8,8,8,7,7,6,5,0,0,0,0,6,4,5,15,5,15,15,15,12,12,8,8,1,1,1,1,2,1,3,7,9,15,15,15,9,9,9,7,6,4,4,3
Bbd,7,8,7,7,5,6,6,6,6,6,6,4,6,4,3,4,0,0,0,0,8,10,10,12,10,12,7,7,6,5,6,6,3,3,4,3,4,3,5,5,8,7,7,7,7,7,7,7
Bbm,7,5,6,7,4,5,7,8,7,6,5,6,6,5,3,2,0,0,0,0,5,9,9,15,10,10,8,10,4,3,2,3,2,2,3,3,4,2,4,7,9,12,12,10,6,3,3,3
BbM,7,7,6,6,4,3,5,8,6,7,5,6,6,5,5,3,0,0,0,0,5,9,9,15,10,10,8,10,10,8,3,5,2,2,2,2,4,1,2,7,7,12,12,10,6,3,3,4
BbA,6,5,5,4,4,3,4,8,4,8,8,8,7,7,6,5,0,0,0,0,6,7,8,15,8,15,13,13,10,10,8,8,1,1,2,2,3,2,3,7,7,13,13,13,9,9,9,7
Bd,7,8,8,8,4,4,4,4,5,6,6,6,6,6,6,4,10,7,5,8,0,0,0,0,10,10,8,10,8,10,7,7,6,5,7,7,4,4,4,3,3,2,4,4,8,7,7,7
Bm,6,4,4,4,4,3,4,4,4,5,7,8,7,6,5,6,10,8,5,5,0,0,0,0,8,9,7,13,8,8,8,10,4,3,2,4,3,2,3,3,3,1,3,6,9,12,12,10
BM,6,5,4,4,4,4,3,3,4,3,5,8,6,7,5,6,10,8,7,5,0,0,0,0,8,9,7,13,8,8,8,10,8,7,3,4,4,2,2,2,3,0,1,6,7,12,12,10
BA,9,11,10,7,3,2,2,2,4,3,4,8,4,8,8,8,11,11,9,8,0,0,0,0,9,7,6,13,6,13,13,13,8,8,8,7,3,2,2,2,2,1,2,6,7,13,13,13
